pos	pool1	pool2
6850	0	257
6860	0	257
6870	0	257
6880	0	257
6890	0	257
6900	0	257
6910	0	257
6920	0	257
6930	0	257
6940	0	257
6950	0	257
6960	0	257
6970	0	257
6980	0	257
6990	0	257
7000	0	257
7010	0	257
7020	0	257
7030	0	257
7040	0	257
7050	0	257
7060	0	257
7070	0	257
7080	0	257
7090	0	257
7100	0	257
7110	0	257
7120	0	257
7130	0	257
7140	0	257
7150	0	257
7160	0	257
7170	0	257
7180	0	257
7190	0	257
7200	0	257
7210	0	257
7220	0	257
7230	0	257
7240	0	257
7250	0	257
7260	0	257
7270	0	257
7280	0	257
7290	0	257
7300	0	257
7310	0	257
7320	0	257
7330	0	257
7340	0	257
7350	0	257
7360	0	257
7370	0	257
7380	0	257
7390	0	257
7400	0	257
7410	0	257
7420	0	257
7430	0	257
7440	0	257
7450	0	257
7460	0	257
7470	0	257
7480	0	257
7490	0	257
7500	0	257
7510	0	257
7520	0	257
7530	0	257
7540	0	257
7550	0	257
7560	0	257
7570	0	257
7580	0	257
7590	0	257
7600	0	257
7610	0	257
7620	0	257
7630	0	257
7640	0	257
7650	0	257
7660	0	257
7670	0	257
7680	0	257
7690	0	257
7700	0	257
7710	0	257
7720	0	257
7730	0	257
7740	0	257
7750	0	257
7760	0	257
7770	0	257
7780	0	257
7790	0	257
7800	0	257
7810	0	257
7820	0	257
7830	0	257
7840	0	257
7850	0	257
7860	0	257
7870	0	257
7880	0	257
7890	0	257
7900	0	257
7910	0	257
7920	0	257
7930	0	257
7940	0	257
7950	0	257
7960	0	257
7970	0	257
7980	0	257
7990	0	257
8000	0	257
8010	0	257
8020	0	257
8030	0	257
8040	0	257
8050	0	257
8060	0	257
8070	0	257
8080	0	257
8090	0	257
8100	0	257
8110	0	257
8120	0	257
8130	0	257
8140	0	257
8150	0	257
8160	0	257
8170	0	257
8180	0	257
8190	0	257
8200	0	257
8210	0	257
8220	0	257
8230	0	257
8240	0	257
8250	0	257
8260	0	257
8270	0	257
8280	0	257
8290	0	257
8300	0	257
8310	0	257
8320	0	257
8330	0	257
8340	0	257
8350	0	257
8360	0	257
8370	0	257
8380	0	257
8390	0	257
8400	0	257
8410	0	257
8420	0	257
8430	0	257
8440	0	257
8450	0	257
8460	0	257
8470	0	257
8480	0	257
8490	0	257
8500	0	257
8510	0	257
8520	0	257
8530	0	257
8540	0	257
8550	0	257
8560	0	257
8570	0	257
8580	0	256
8590	0	256
8600	0	256
8610	0	256
8620	397	256
8630	400	256
8640	400	256
8650	400	256
8660	400	256
8670	400	256
8680	400	256
8690	400	256
8700	400	256
8710	400	256
8720	400	256
8730	400	256
8740	400	256
8750	400	256
8760	400	256
8770	400	256
8780	400	255
8790	400	255
8800	400	254
8810	400	254
8820	400	252
8830	400	0
8840	400	0
8850	400	0
8860	400	0
8870	400	0
8880	400	0
8890	400	0
8900	400	0
8910	400	0
8920	400	0
8930	400	0
8940	400	0
8950	400	0
8960	400	0
8970	400	0
8980	400	0
8990	400	0
9000	400	0
9010	400	0
9020	400	0
9030	400	0
9040	400	0
9050	400	0
9060	400	0
9070	400	0
9080	400	0
9090	400	0
9100	400	0
9110	400	0
9120	400	0
9130	400	0
9140	400	0
9150	400	0
9160	400	0
9170	400	0
9180	400	0
9190	400	0
9200	400	0
9210	400	0
9220	400	0
9230	400	0
9240	400	0
9250	400	0
9260	400	0
9270	400	0
9280	400	0
9290	400	0
9300	400	0
9310	400	0
9320	400	0
9330	400	0
9340	400	0
9350	400	0
9360	400	0
9370	400	0
9380	400	0
9390	400	0
9400	400	0
9410	400	0
9420	400	0
9430	400	0
9440	400	0
9450	400	0
9460	400	0
9470	400	0
9480	400	0
9490	400	0
9500	400	0
9510	400	0
9520	400	0
9530	400	0
9540	400	0
9550	400	0
9560	400	0
9570	400	0
9580	400	0
9590	400	0
9600	400	0
9610	400	0
9620	400	0
9630	400	0
9640	400	0
9650	400	0
9660	400	0
9670	400	0
9680	400	0
9690	400	0
9700	400	0
9710	400	0
9720	400	0
9730	400	0
9740	400	0
9750	400	0
9760	400	0
9770	400	0
9780	400	0
9790	400	0
9800	400	0
9810	400	0
9820	400	0
9830	400	0
9840	400	0
9850	400	0
9860	400	0
9870	400	0
9880	400	0
9890	400	0
9900	400	0
9910	400	0
9920	400	0
9930	400	0
9940	400	0
9950	400	0
9960	400	0
9970	400	0
9980	400	0
9990	400	0
10000	400	0
10010	400	0
10020	400	0
10030	400	0
10040	400	0
10050	400	0
10060	400	0
10070	400	0
10080	400	0
10090	400	0
10100	400	0
10110	400	0
10120	400	0
10130	400	0
10140	400	0
10150	400	0
10160	400	0
10170	400	0
10180	400	0
10190	400	0
10200	400	0
10210	400	0
10220	400	0
10230	400	0
10240	400	0
10250	400	0
10260	400	0
10270	400	0
10280	400	0
10290	400	0
10300	400	0
10310	400	0
10320	400	0
10330	400	0
10340	400	0
10350	400	0
10360	400	0
10370	400	0
10380	400	0
10390	400	372
10400	400	373
10410	400	374
10420	400	374
10430	400	374
10440	400	374
10450	400	374
10460	400	374
10470	400	374
10480	400	374
10490	400	374
10500	400	374
10510	400	374
10520	400	374
10530	400	374
10540	400	374
10550	400	374
10560	400	374
10570	400	374
10580	400	374
10590	400	374
10600	400	374
10610	400	374
10620	400	374
10630	400	374
10640	400	374
10650	400	374
10660	400	374
10670	400	374
10680	400	374
10690	400	374
10700	400	374
10710	400	374
10720	400	374
10730	400	374
10740	400	374
10750	400	374
10760	400	374
10770	400	374
10780	400	374
10790	400	374
10800	400	374
10810	400	374
10820	400	374
10830	400	374
10840	400	374
10850	400	374
10860	400	374
10870	400	374
10880	400	374
10890	400	374
10900	400	374
10910	400	374
10920	400	374
10930	400	374
10940	400	374
10950	400	374
10960	400	374
10970	400	374
10980	400	374
10990	400	374
11000	400	374
11010	400	374
11020	399	374
11030	399	374
11040	399	374
11050	0	374
11060	0	374
11070	0	374
11080	0	374
11090	0	374
11100	0	374
11110	0	374
11120	0	374
11130	0	374
11140	0	374
11150	0	374
11160	0	374
11170	0	374
11180	0	374
11190	0	374
11200	0	374
11210	0	374
11220	0	374
11230	0	374
11240	0	374
11250	0	374
11260	0	374
11270	0	374
11280	0	374
11290	0	374
11300	0	374
11310	0	374
11320	0	374
11330	0	374
11340	0	374
11350	0	374
11360	0	374
11370	0	374
11380	0	374
11390	0	374
11400	0	374
11410	0	374
11420	0	374
11430	0	374
11440	0	374
11450	0	374
11460	0	374
11470	0	374
11480	0	374
11490	0	374
11500	0	374
11510	0	374
11520	0	374
11530	0	374
11540	0	374
11550	0	374
11560	0	374
11570	0	374
11580	0	374
11590	0	374
11600	0	374
11610	0	374
11620	0	374
11630	0	374
11640	0	374
11650	0	374
11660	0	374
11670	0	374
11680	0	374
11690	0	374
11700	0	374
11710	0	374
11720	0	374
11730	0	374
11740	0	374
11750	0	374
11760	0	374
11770	0	374
11780	0	374
11790	0	374
11800	0	374
11810	0	374
11820	0	374
11830	0	374
11840	0	374
11850	0	374
11860	0	374
11870	0	374
11880	0	374
11890	0	374
11900	0	374
11910	0	374
11920	0	374
11930	0	374
11940	0	374
11950	0	374
11960	0	374
11970	0	374
11980	0	374
11990	0	374
12000	0	374
12010	0	374
12020	0	374
12030	0	374
12040	0	374
12050	0	374
12060	0	374
12070	0	374
12080	0	374
12090	0	374
12100	0	374
12110	0	374
12120	0	374
12130	0	374
12140	0	374
12150	0	374
12160	0	374
12170	0	374
12180	0	374
12190	0	374
12200	0	374
12210	0	374
12220	0	374
12230	0	374
12240	0	374
12250	0	374
12260	0	374
12270	0	374
12280	0	374
12290	0	374
12300	0	374
12310	0	374
12320	0	374
12330	0	374
12340	0	374
12350	0	374
12360	0	374
12370	0	374
12380	0	374
12390	0	374
12400	0	374
12410	0	374
12420	0	374
12430	0	374
12440	0	374
12450	0	374
12460	0	374
12470	0	374
12480	0	374
12490	0	374
12500	0	374
12510	0	374
12520	0	374
12530	0	374
12540	0	374
12550	0	374
12560	0	374
12570	0	374
12580	0	374
12590	0	374
12600	0	374
12610	0	374
12620	0	374
12630	0	373
12640	0	373
12650	0	373
12660	0	373
12670	0	373
12680	0	373
12690	0	373
12700	0	373
12710	0	373
12720	0	372
12730	0	371
12740	211	371
12750	215	371
12760	215	369
12770	216	367
12780	216	0
12790	216	0
12800	216	0
12810	216	0
12820	216	0
12830	216	0
12840	216	0
12850	216	0
12860	216	0
12870	216	0
12880	216	0
12890	216	0
12900	216	0
12910	216	0
12920	216	0
12930	216	0
12940	216	0
12950	216	0
12960	216	0
12970	216	0
12980	216	0
12990	216	0
13000	216	0
13010	216	0
13020	216	0
13030	216	0
13040	216	0
13050	216	0
13060	216	0
13070	216	0
13080	216	0
13090	216	0
13100	216	0
13110	216	0
13120	216	0
13130	216	0
13140	216	0
13150	216	0
13160	216	0
13170	216	0
13180	216	0
13190	216	0
13200	216	0
13210	216	0
13220	216	0
13230	216	0
13240	216	0
13250	216	0
13260	216	0
13270	216	0
13280	216	0
13290	216	0
13300	216	0
13310	216	0
13320	216	0
13330	216	0
13340	216	0
13350	216	0
13360	216	0
13370	216	0
13380	216	0
13390	216	0
13400	216	0
13410	216	0
13420	216	0
13430	216	0
13440	216	0
13450	216	0
13460	216	0
13470	216	0
13480	216	0
13490	216	0
13500	216	0
13510	216	0
13520	216	0
13530	216	0
13540	216	0
13550	216	0
13560	216	0
13570	216	0
13580	216	0
13590	216	0
13600	216	0
13610	216	0
13620	216	0
13630	216	0
13640	216	0
13650	216	0
13660	216	0
13670	216	0
13680	216	0
13690	216	0
13700	216	0
13710	216	0
13720	216	0
13730	216	0
13740	216	0
13750	216	0
13760	216	0
13770	216	0
13780	216	0
13790	216	0
13800	216	0
13810	216	0
13820	216	0
13830	216	0
13840	216	0
13850	216	0
13860	216	0
13870	216	0
13880	216	0
13890	216	0
13900	216	0
13910	216	0
13920	216	0
13930	216	0
13940	216	0
13950	216	0
13960	216	0
13970	216	0
13980	216	0
13990	216	0
14000	216	0
14010	216	0
14020	216	0
14030	216	0
14040	216	0
14050	216	0
14060	216	0
14070	216	0
14080	216	0
14090	216	0
14100	216	0
14110	216	0
14120	216	0
14130	216	0
14140	216	0
14150	216	0
14160	216	0
14170	216	0
14180	216	0
14190	216	0
14200	216	0
14210	216	0
14220	216	0
14230	216	0
14240	216	0
14250	216	0
14260	216	0
14270	216	0
14280	216	0
14290	216	0
14300	216	0
14310	216	0
14320	216	0
14330	216	0
14340	216	0
14350	216	0
14360	216	0
14370	216	0
14380	216	0
14390	216	0
14400	216	0
14410	216	0
14420	216	0
14430	216	0
14440	216	0
14450	216	0
14460	216	0
14470	216	0
14480	216	0
14490	216	0
14500	216	0
14510	216	0
14520	216	0
14530	216	0
14540	216	0
14550	216	0
14560	216	0
14570	216	73
14580	216	102
14590	216	103
14600	216	103
14610	216	103
14620	216	103
14630	216	103
14640	216	103
14650	216	103
14660	216	104
14670	216	104
14680	216	104
14690	216	104
14700	216	104
14710	216	104
14720	216	105
14730	216	105
14740	216	105
14750	216	105
14760	216	105
14770	216	105
14780	216	105
14790	216	105
14800	216	105
14810	216	105
14820	216	105
14830	216	105
14840	216	105
14850	216	105
14860	216	105
14870	216	105
14880	216	105
14890	216	105
14900	216	105
14910	216	105
14920	216	105
14930	216	105
14940	216	105
14950	216	105
14960	216	105
14970	216	105
14980	216	105
14990	216	105
15000	216	105
15010	216	105
15020	216	105
15030	216	105
15040	216	105
15050	216	105
15060	216	105
15070	216	105
15080	216	105
15090	216	105
15100	216	105
15110	216	105
15120	216	105
15130	216	105
15140	216	105
15150	216	105
15160	216	105
15170	216	105
15180	216	105
15190	216	105
15200	216	105
15210	216	105
15220	214	105
15230	0	105
15240	0	105
15250	0	105
15260	0	105
15270	0	105
15280	0	105
15290	0	105
15300	0	105
15310	0	105
15320	0	105
15330	0	105
15340	0	105
15350	0	105
15360	0	105
15370	0	105
15380	0	105
15390	0	105
15400	0	105
15410	0	105
15420	0	105
15430	0	105
15440	0	105
15450	0	105
15460	0	105
15470	0	105
15480	0	105
15490	0	105
15500	0	105
15510	0	105
15520	0	105
15530	0	105
15540	0	105
15550	0	105
15560	0	105
15570	0	105
15580	0	105
15590	0	105
15600	0	105
15610	0	105
15620	0	105
15630	0	105
15640	0	105
15650	0	105
15660	0	105
15670	0	105
15680	0	105
15690	0	105
15700	0	105
15710	0	105
15720	0	105
15730	0	105
15740	0	105
15750	0	105
15760	0	105
15770	0	105
15780	0	105
15790	0	105
15800	0	105
15810	0	105
15820	0	105
15830	0	105
15840	0	105
15850	0	105
15860	0	105
15870	0	105
15880	0	105
15890	0	105
15900	0	105
15910	0	105
15920	0	105
15930	0	105
15940	0	105
15950	0	105
15960	0	105
15970	0	105
15980	0	105
15990	0	105
16000	0	105
16010	0	105
16020	0	105
16030	0	105
16040	0	105
16050	0	105
16060	0	105
16070	0	105
16080	0	105
16090	0	105
16100	0	105
16110	0	105
16120	0	105
16130	0	105
16140	0	105
16150	0	105
16160	0	105
16170	0	105
16180	0	105
16190	0	105
16200	0	105
16210	0	105
16220	0	105
16230	0	105
16240	0	105
16250	0	105
16260	0	105
16270	0	105
16280	0	105
16290	0	105
16300	0	105
16310	0	105
16320	0	105
16330	0	105
16340	0	105
16350	0	105
16360	0	105
16370	0	105
16380	0	105
16390	0	105
16400	0	105
16410	0	105
16420	0	105
16430	0	105
16440	0	105
16450	0	105
16460	0	105
16470	0	105
16480	0	105
16490	0	105
16500	0	105
16510	0	105
16520	0	105
16530	0	105
16540	0	105
16550	0	105
16560	0	105
16570	0	105
16580	0	105
16590	0	105
16600	0	105
16610	0	105
16620	0	105
16630	0	105
16640	0	105
16650	0	105
16660	0	105
16670	0	105
16680	0	105
16690	0	105
16700	0	105
16710	0	105
16720	0	105
16730	0	105
16740	0	105
16750	0	105
16760	0	105
16770	0	105
16780	0	105
16790	0	105
16800	0	105
16810	0	105
16820	0	105
16830	0	105
16840	0	105
16850	0	105
16860	0	105
16870	0	105
16880	340	105
16890	341	105
16900	341	105
16910	341	105
16920	341	104
16930	341	104
16940	341	104
16950	341	104
16960	341	104
16970	341	104
16980	341	104
16990	341	104
17000	341	104
17010	342	104
17020	342	104
17030	342	104
17040	342	104
17050	342	104
17060	342	104
17070	342	104
17080	342	104
17090	342	104
17100	342	104
17110	342	103
17120	342	102
17130	342	100
17140	342	0
17150	342	0
17160	342	0
17170	342	0
17180	342	0
17190	342	0
17200	342	0
17210	342	0
17220	342	0
17230	342	0
17240	342	0
17250	342	0
17260	342	0
17270	342	0
17280	342	0
17290	342	0
17300	342	0
17310	342	0
17320	342	0
17330	342	0
17340	342	0
17350	342	0
17360	342	0
17370	342	0
17380	342	0
17390	342	0
17400	342	0
17410	342	0
17420	342	0
17430	342	0
17440	342	0
17450	342	0
17460	342	0
17470	342	0
17480	342	0
17490	342	0
17500	342	0
17510	342	0
17520	342	0
17530	342	0
17540	342	0
17550	342	0
17560	342	0
17570	342	0
17580	342	0
17590	342	0
17600	342	0
17610	342	0
17620	342	0
17630	342	0
17640	342	0
17650	342	0
17660	342	0
17670	342	0
17680	342	0
17690	342	0
17700	342	0
17710	342	0
17720	342	0
17730	342	0
17740	342	0
17750	342	0
17760	342	0
17770	342	0
17780	342	0
17790	342	0
17800	342	0
17810	342	0
17820	342	0
17830	342	0
17840	342	0
17850	342	0
17860	342	0
17870	342	0
17880	342	0
17890	342	0
17900	342	0
17910	342	0
17920	342	0
17930	342	0
17940	342	0
17950	342	0
17960	342	0
17970	342	0
17980	342	0
17990	342	0
18000	342	0
18010	342	0
18020	342	0
18030	342	0
18040	342	0
18050	342	0
18060	342	0
18070	342	0
18080	342	0
18090	342	0
18100	342	0
18110	342	0
18120	342	0
18130	342	0
18140	342	0
18150	342	0
18160	342	0
18170	342	0
18180	342	0
18190	342	0
18200	342	0
18210	342	0
18220	342	0
18230	342	0
18240	342	0
18250	342	0
18260	342	0
18270	342	0
18280	342	0
18290	342	0
18300	342	0
18310	342	0
18320	342	0
18330	342	0
18340	342	0
18350	342	0
18360	342	0
18370	342	0
18380	342	0
18390	342	0
18400	342	0
18410	342	0
18420	342	0
18430	342	0
18440	342	0
18450	342	0
18460	342	0
18470	342	0
18480	342	0
18490	342	0
18500	342	0
18510	342	0
18520	342	0
18530	342	0
18540	342	0
18550	342	0
18560	342	0
18570	342	0
18580	342	0
18590	342	0
18600	342	0
18610	342	0
18620	342	0
18630	342	0
18640	342	0
18650	342	0
18660	342	0
18670	342	0
18680	342	0
18690	342	0
18700	342	0
18710	342	0
18720	342	0
18730	342	0
18740	342	0
18750	342	0
18760	342	0
18770	342	0
18780	342	0
18790	342	0
18800	342	0
18810	342	0
18820	342	0
18830	342	0
18840	342	0
18850	342	0
18860	342	0
18870	342	0
18880	342	0
18890	342	0
18900	342	0
18910	342	0
18920	342	312
18930	342	316
18940	342	319
18950	342	319
18960	342	320
18970	342	320
18980	342	320
18990	342	320
19000	342	320
19010	342	320
19020	342	320
19030	342	320
19040	342	320
19050	342	320
19060	342	320
19070	342	320
19080	342	320
19090	342	320
19100	342	320
19110	342	320
19120	342	320
19130	342	320
19140	342	320
19150	342	320
19160	342	320
19170	342	320
19180	342	320
19190	342	320
19200	342	320
19210	342	320
19220	341	320
19230	341	320
19240	341	320
19250	336	320
19260	0	320
19270	0	320
19280	0	320
19290	0	320
19300	0	320
19310	0	320
19320	0	320
19330	0	320
19340	0	320
19350	0	320
19360	0	320
19370	0	320
19380	0	320
19390	0	320
19400	0	320
19410	0	320
19420	0	320
19430	0	320
19440	0	320
19450	0	320
19460	0	320
19470	0	320
19480	0	320
19490	0	320
19500	0	320
19510	0	320
19520	0	320
19530	0	320
19540	0	320
19550	0	320
19560	0	320
19570	0	320
19580	0	320
19590	0	320
19600	0	320
19610	0	320
19620	0	320
19630	0	320
19640	0	320
19650	0	320
19660	0	320
19670	0	320
19680	0	320
19690	0	320
19700	0	320
19710	0	320
19720	0	320
19730	0	320
19740	0	320
19750	0	320
19760	0	320
19770	0	320
19780	0	320
19790	0	320
19800	0	320
19810	0	320
19820	0	320
19830	0	320
19840	0	320
19850	0	320
19860	0	320
19870	0	320
19880	0	320
19890	0	320
19900	0	320
19910	0	320
19920	0	320
19930	0	320
19940	0	320
19950	0	320
19960	0	320
19970	0	320
19980	0	320
19990	0	320
20000	0	320
20010	0	320
20020	0	320
20030	0	320
20040	0	320
20050	0	320
20060	0	320
20070	0	320
20080	0	320
20090	0	320
20100	0	320
